[I 2023-12-19 20:39:37,714] A new study created in memory with name: no-name-e374f74d-06ae-4cdd-9ac2-b7a206e8c3f2
2023-12-19 20:39:42.134588: W external/xla/xla/service/gpu/nvptx_compiler.cc:698] The NVIDIA driver's CUDA version is 12.0 which is older than the ptxas CUDA version (12.3.103). Because the driver is older than the ptxas version, XLA is disabling parallel compilation, which may slow down compilation. You should update your NVIDIA driver or use the NVIDIA-provided CUDA forward compatibility packages.
[I 2023-12-19 20:42:38,581] Trial 0 finished with value: 0.9333333333333332 and parameters: {'learning_rate': 0.00031489116479568613, 'batch_size': 8, 'embed_dim': 32, 'depth': 6}. Best is trial 0 with value: 0.9333333333333332.
[I 2023-12-19 20:43:33,201] Trial 1 finished with value: 0.85 and parameters: {'learning_rate': 3.613894271216525e-05, 'batch_size': 64, 'embed_dim': 128, 'depth': 3}. Best is trial 0 with value: 0.9333333333333332.
[I 2023-12-19 20:43:53,757] Trial 2 finished with value: 0.32814526359240215 and parameters: {'learning_rate': 1.3726318898045866e-05, 'batch_size': 1028, 'embed_dim': 16, 'depth': 6}. Best is trial 0 with value: 0.9333333333333332.
[I 2023-12-19 20:44:07,402] Trial 3 finished with value: 0.8291666666666666 and parameters: {'learning_rate': 0.00026730883107816685, 'batch_size': 256, 'embed_dim': 16, 'depth': 3}. Best is trial 0 with value: 0.9333333333333332.
[I 2023-12-19 20:45:04,584] Trial 4 finished with value: 0.834375 and parameters: {'learning_rate': 0.00017535949529764417, 'batch_size': 64, 'embed_dim': 16, 'depth': 6}. Best is trial 0 with value: 0.9333333333333332.
[I 2023-12-19 20:45:25,228] Trial 5 finished with value: 0.8548177083333333 and parameters: {'learning_rate': 9.935023909063687e-05, 'batch_size': 512, 'embed_dim': 128, 'depth': 2}. Best is trial 0 with value: 0.9333333333333332.
1: Train Metrics(loss=0.6476299166679382, accuracy=0.875), Test Metrics(loss=0.5396900773048401, accuracy=0.75)
6: Train Metrics(loss=0.5502997636795044, accuracy=0.828125), Test Metrics(loss=0.6512330770492554, accuracy=0.81640625)
7: Train Metrics(loss=0.5827538371086121, accuracy=0.796875), Test Metrics(loss=0.5179324150085449, accuracy=0.83203125)
8: Train Metrics(loss=0.62831050157547, accuracy=0.79296875), Test Metrics(loss=0.5215706825256348, accuracy=0.82421875)
9: Train Metrics(loss=0.565212070941925, accuracy=0.8359375), Test Metrics(loss=0.5693590641021729, accuracy=0.81640625)
10: Train Metrics(loss=0.45434248447418213, accuracy=0.86328125), Test Metrics(loss=0.5160089731216431, accuracy=0.84375)
1: Train Metrics(loss=0.7052679061889648, accuracy=0.796875), Test Metrics(loss=1.0230921506881714, accuracy=0.640625)
2: Train Metrics(loss=0.3714490532875061, accuracy=0.953125), Test Metrics(loss=0.5236936211585999, accuracy=0.828125)
3: Train Metrics(loss=0.32736003398895264, accuracy=0.90625), Test Metrics(loss=0.5753763318061829, accuracy=0.84375)
4: Train Metrics(loss=0.5553972125053406, accuracy=0.8125), Test Metrics(loss=0.49213680624961853, accuracy=0.84375)
5: Train Metrics(loss=0.3535400331020355, accuracy=0.890625), Test Metrics(loss=0.30477291345596313, accuracy=0.859375)
6: Train Metrics(loss=0.2766111493110657, accuracy=0.890625), Test Metrics(loss=0.3496987521648407, accuracy=0.890625)
7: Train Metrics(loss=0.4281737208366394, accuracy=0.859375), Test Metrics(loss=0.6173244714736938, accuracy=0.8125)
8: Train Metrics(loss=0.28229424357414246, accuracy=0.890625), Test Metrics(loss=0.3640385866165161, accuracy=0.828125)
9: Train Metrics(loss=0.4645220637321472, accuracy=0.859375), Test Metrics(loss=0.4342445135116577, accuracy=0.84375)
10: Train Metrics(loss=0.19031435251235962, accuracy=0.953125), Test Metrics(loss=0.49661189317703247, accuracy=0.828125)
1: Train Metrics(loss=0.791114330291748, accuracy=0.734375), Test Metrics(loss=0.7587481141090393, accuracy=0.75)
2: Train Metrics(loss=0.6539753079414368, accuracy=0.779296875), Test Metrics(loss=0.6410871744155884, accuracy=0.77734375)
3: Train Metrics(loss=0.5244600772857666, accuracy=0.82421875), Test Metrics(loss=0.6704084277153015, accuracy=0.787109375)
4: Train Metrics(loss=0.4748162627220154, accuracy=0.84765625), Test Metrics(loss=0.5501177310943604, accuracy=0.81640625)
5: Train Metrics(loss=0.4828493595123291, accuracy=0.841796875), Test Metrics(loss=0.5073902606964111, accuracy=0.82421875)
6: Train Metrics(loss=0.4618948698043823, accuracy=0.8671875), Test Metrics(loss=0.43645626306533813, accuracy=0.837890625)
7: Train Metrics(loss=0.417257159948349, accuracy=0.857421875), Test Metrics(loss=0.4355490803718567, accuracy=0.84375)
8: Train Metrics(loss=0.39910125732421875, accuracy=0.87109375), Test Metrics(loss=0.40219470858573914, accuracy=0.849609375)
9: Train Metrics(loss=0.4523637592792511, accuracy=0.859375), Test Metrics(loss=0.3889308273792267, accuracy=0.875)
10: Train Metrics(loss=0.4179590940475464, accuracy=0.8671875), Test Metrics(loss=0.39680835604667664, accuracy=0.849609375)
1: Train Metrics(loss=2.2437801361083984, accuracy=0.22762645781040192), Test Metrics(loss=2.2412009239196777, accuracy=0.306420236825943)
2: Train Metrics(loss=1.939590334892273, accuracy=0.29571983218193054), Test Metrics(loss=2.102077007293701, accuracy=0.25778210163116455)
3: Train Metrics(loss=1.842087745666504, accuracy=0.3336575925350189), Test Metrics(loss=1.8596988916397095, accuracy=0.32392996549606323)
4: Train Metrics(loss=1.945038080215454, accuracy=0.28599220514297485), Test Metrics(loss=1.907455325126648, accuracy=0.3190661370754242)
5: Train Metrics(loss=2.0473806858062744, accuracy=0.2509727478027344), Test Metrics(loss=1.9450407028198242, accuracy=0.25778210163116455)
6: Train Metrics(loss=2.0469157695770264, accuracy=0.28599220514297485), Test Metrics(loss=2.1309492588043213, accuracy=0.28599220514297485)
[I 2023-12-19 20:46:03,873] Trial 6 finished with value: 0.3761348923047383 and parameters: {'learning_rate': 0.018709365688887352, 'batch_size': 1028, 'embed_dim': 128, 'depth': 6}. Best is trial 0 with value: 0.9333333333333332.
[I 2023-12-19 20:46:18,107] Trial 7 finished with value: 0.8765625 and parameters: {'learning_rate': 0.0010249816559563208, 'batch_size': 512, 'embed_dim': 16, 'depth': 4}. Best is trial 0 with value: 0.9333333333333332.
[I 2023-12-19 20:46:24,813] Trial 8 finished with value: 0.10732814421256381 and parameters: {'learning_rate': 1.4557961490251982e-05, 'batch_size': 1028, 'embed_dim': 16, 'depth': 1}. Best is trial 0 with value: 0.9333333333333332.
[I 2023-12-19 20:48:09,016] Trial 9 finished with value: 0.90625 and parameters: {'learning_rate': 9.277034327414714e-05, 'batch_size': 32, 'embed_dim': 256, 'depth': 4}. Best is trial 0 with value: 0.9333333333333332.
[I 2023-12-19 20:50:36,406] Trial 10 finished with value: 0.8999999999999999 and parameters: {'learning_rate': 0.0016427964549276528, 'batch_size': 8, 'embed_dim': 32, 'depth': 5}. Best is trial 0 with value: 0.9333333333333332.
[I 2023-12-19 20:52:12,536] Trial 11 finished with value: 0.22083333333333333 and parameters: {'learning_rate': 0.007255685482622867, 'batch_size': 32, 'embed_dim': 256, 'depth': 4}. Best is trial 0 with value: 0.9333333333333332.
[I 2023-12-19 20:55:15,534] Trial 12 finished with value: 0.7416666666666667 and parameters: {'learning_rate': 0.000370700426467962, 'batch_size': 8, 'embed_dim': 256, 'depth': 4}. Best is trial 0 with value: 0.9333333333333332.
7: Train Metrics(loss=1.775240421295166, accuracy=0.34824901819229126), Test Metrics(loss=1.7997829914093018, accuracy=0.3278210163116455)
8: Train Metrics(loss=1.8327052593231201, accuracy=0.30155640840530396), Test Metrics(loss=1.7169790267944336, accuracy=0.36089494824409485)
9: Train Metrics(loss=1.6181340217590332, accuracy=0.42412450909614563), Test Metrics(loss=1.5804939270019531, accuracy=0.4338521361351013)
10: Train Metrics(loss=1.6991233825683594, accuracy=0.3570038974285126), Test Metrics(loss=1.6929056644439697, accuracy=0.37645915150642395)
1: Train Metrics(loss=0.891954779624939, accuracy=0.720703125), Test Metrics(loss=0.8294023275375366, accuracy=0.75)
2: Train Metrics(loss=0.6086299419403076, accuracy=0.798828125), Test Metrics(loss=0.6313563585281372, accuracy=0.798828125)
3: Train Metrics(loss=0.5438730716705322, accuracy=0.828125), Test Metrics(loss=0.6342554092407227, accuracy=0.806640625)
4: Train Metrics(loss=0.5159450769424438, accuracy=0.845703125), Test Metrics(loss=0.4662531018257141, accuracy=0.861328125)
5: Train Metrics(loss=0.4172668159008026, accuracy=0.87109375), Test Metrics(loss=0.4665202498435974, accuracy=0.84765625)
6: Train Metrics(loss=0.4147447347640991, accuracy=0.865234375), Test Metrics(loss=0.4180050194263458, accuracy=0.8671875)
7: Train Metrics(loss=0.424143522977829, accuracy=0.869140625), Test Metrics(loss=0.4487873613834381, accuracy=0.857421875)
8: Train Metrics(loss=0.4072287976741791, accuracy=0.869140625), Test Metrics(loss=0.3607463538646698, accuracy=0.892578125)
9: Train Metrics(loss=0.45531347393989563, accuracy=0.849609375), Test Metrics(loss=0.3439202904701233, accuracy=0.880859375)
10: Train Metrics(loss=0.3657931089401245, accuracy=0.888671875), Test Metrics(loss=0.3698761463165283, accuracy=0.873046875)
1: Train Metrics(loss=2.6993019580841064, accuracy=0.08268482238054276), Test Metrics(loss=2.643828868865967, accuracy=0.0875486359000206)
2: Train Metrics(loss=2.5927748680114746, accuracy=0.09533073753118515), Test Metrics(loss=2.626985549926758, accuracy=0.08949416130781174)
3: Train Metrics(loss=2.588778495788574, accuracy=0.08073929697275162), Test Metrics(loss=2.569741725921631, accuracy=0.09143968671560287)
4: Train Metrics(loss=2.4801652431488037, accuracy=0.08560311049222946), Test Metrics(loss=2.4889159202575684, accuracy=0.07976653426885605)
5: Train Metrics(loss=2.4936106204986572, accuracy=0.09435797482728958), Test Metrics(loss=2.4884302616119385, accuracy=0.08560311049222946)
6: Train Metrics(loss=2.4323794841766357, accuracy=0.09630350023508072), Test Metrics(loss=2.382281541824341, accuracy=0.10214007645845413)
7: Train Metrics(loss=2.373249053955078, accuracy=0.09533073753118515), Test Metrics(loss=2.4238572120666504, accuracy=0.08463034778833389)
8: Train Metrics(loss=2.3702926635742188, accuracy=0.12159533053636551), Test Metrics(loss=2.3724048137664795, accuracy=0.09435797482728958)
9: Train Metrics(loss=2.3277885913848877, accuracy=0.1031128391623497), Test Metrics(loss=2.3186068534851074, accuracy=0.11673151701688766)
10: Train Metrics(loss=2.302506446838379, accuracy=0.1284046620130539), Test Metrics(loss=2.2846105098724365, accuracy=0.11770427972078323)
1: Train Metrics(loss=0.36802440881729126, accuracy=0.875), Test Metrics(loss=0.49266231060028076, accuracy=0.8125)
2: Train Metrics(loss=0.332518994808197, accuracy=0.875), Test Metrics(loss=0.35898810625076294, accuracy=0.84375)
3: Train Metrics(loss=0.41812562942504883, accuracy=0.9375), Test Metrics(loss=0.6671549081802368, accuracy=0.8125)
4: Train Metrics(loss=0.3307883143424988, accuracy=0.84375), Test Metrics(loss=0.4534250497817993, accuracy=0.84375)
5: Train Metrics(loss=0.48501670360565186, accuracy=0.8125), Test Metrics(loss=0.21129769086837769, accuracy=0.875)
6: Train Metrics(loss=0.28537094593048096, accuracy=0.9375), Test Metrics(loss=0.3210151195526123, accuracy=0.875)
7: Train Metrics(loss=0.20523419976234436, accuracy=0.9375), Test Metrics(loss=0.27525079250335693, accuracy=0.9375)
8: Train Metrics(loss=0.6125401258468628, accuracy=0.8125), Test Metrics(loss=0.14412128925323486, accuracy=0.90625)
9: Train Metrics(loss=0.22066263854503632, accuracy=0.9375), Test Metrics(loss=0.17085005342960358, accuracy=0.9375)
10: Train Metrics(loss=0.21299801766872406, accuracy=0.9375), Test Metrics(loss=0.45467790961265564, accuracy=0.875)
1: Train Metrics(loss=0.3182295560836792, accuracy=0.875), Test Metrics(loss=0.6112711429595947, accuracy=0.75)
2: Train Metrics(loss=0.20286786556243896, accuracy=0.875), Test Metrics(loss=0.32378292083740234, accuracy=0.875)
3: Train Metrics(loss=0.22101609408855438, accuracy=1.0), Test Metrics(loss=0.14837773144245148, accuracy=1.0)
4: Train Metrics(loss=0.07444372773170471, accuracy=1.0), Test Metrics(loss=0.3634149134159088, accuracy=0.875)
5: Train Metrics(loss=0.8451363444328308, accuracy=0.625), Test Metrics(loss=0.0349479503929615, accuracy=1.0)
6: Train Metrics(loss=0.02797633409500122, accuracy=1.0), Test Metrics(loss=0.3004937767982483, accuracy=0.875)
7: Train Metrics(loss=0.26454752683639526, accuracy=0.875), Test Metrics(loss=1.140574336051941, accuracy=0.5)
8: Train Metrics(loss=0.5688686370849609, accuracy=0.75), Test Metrics(loss=0.3408624529838562, accuracy=0.875)
9: Train Metrics(loss=0.05122147873044014, accuracy=1.0), Test Metrics(loss=0.0179345291107893, accuracy=1.0)
10: Train Metrics(loss=0.14860597252845764, accuracy=1.0), Test Metrics(loss=0.09784410148859024, accuracy=1.0)
1: Train Metrics(loss=1.9951781034469604, accuracy=0.25), Test Metrics(loss=2.1285269260406494, accuracy=0.21875)
2: Train Metrics(loss=2.1098265647888184, accuracy=0.28125), Test Metrics(loss=2.1469573974609375, accuracy=0.21875)
3: Train Metrics(loss=2.000507116317749, accuracy=0.3125), Test Metrics(loss=1.941716194152832, accuracy=0.28125)
4: Train Metrics(loss=1.8210712671279907, accuracy=0.25), Test Metrics(loss=1.8867056369781494, accuracy=0.40625)
5: Train Metrics(loss=1.8523014783859253, accuracy=0.25), Test Metrics(loss=2.090507984161377, accuracy=0.1875)
6: Train Metrics(loss=1.9405157566070557, accuracy=0.1875), Test Metrics(loss=1.8043969869613647, accuracy=0.25)
7: Train Metrics(loss=1.9523717164993286, accuracy=0.1875), Test Metrics(loss=2.0957188606262207, accuracy=0.15625)
8: Train Metrics(loss=2.181246757507324, accuracy=0.21875), Test Metrics(loss=2.3374853134155273, accuracy=0.15625)
9: Train Metrics(loss=1.854188323020935, accuracy=0.28125), Test Metrics(loss=1.7562143802642822, accuracy=0.21875)
10: Train Metrics(loss=1.9159979820251465, accuracy=0.21875), Test Metrics(loss=2.005831241607666, accuracy=0.28125)
1: Train Metrics(loss=1.3798946142196655, accuracy=0.625), Test Metrics(loss=2.5067269802093506, accuracy=0.375)
2: Train Metrics(loss=1.1152546405792236, accuracy=0.75), Test Metrics(loss=1.0309702157974243, accuracy=0.625)
3: Train Metrics(loss=1.361080288887024, accuracy=0.5), Test Metrics(loss=1.2373650074005127, accuracy=0.5)
4: Train Metrics(loss=0.7679028511047363, accuracy=0.75), Test Metrics(loss=1.7725229263305664, accuracy=0.375)
5: Train Metrics(loss=1.3957328796386719, accuracy=0.625), Test Metrics(loss=1.171055555343628, accuracy=0.75)
6: Train Metrics(loss=0.940053403377533, accuracy=0.625), Test Metrics(loss=0.7426620125770569, accuracy=0.625)
7: Train Metrics(loss=0.8931753635406494, accuracy=0.625), Test Metrics(loss=1.4636067152023315, accuracy=0.625)
8: Train Metrics(loss=1.6470222473144531, accuracy=0.25), Test Metrics(loss=0.4965139627456665, accuracy=1.0)
9: Train Metrics(loss=0.8482502698898315, accuracy=0.625), Test Metrics(loss=1.1377836465835571, accuracy=0.625)
10: Train Metrics(loss=0.9576810598373413, accuracy=0.625), Test Metrics(loss=0.7808672189712524, accuracy=0.75)
1: Train Metrics(loss=0.5855405330657959, accuracy=0.84375), Test Metrics(loss=0.6662032604217529, accuracy=0.71875)
2: Train Metrics(loss=0.3559877276420593, accuracy=0.84375), Test Metrics(loss=0.3508901000022888, accuracy=0.84375)
3: Train Metrics(loss=0.44774574041366577, accuracy=0.84375), Test Metrics(loss=0.4995691180229187, accuracy=0.84375)
[I 2023-12-19 20:55:45,666] Trial 13 finished with value: 0.8666666666666667 and parameters: {'learning_rate': 0.0029207366164734207, 'batch_size': 32, 'embed_dim': 8, 'depth': 2}. Best is trial 0 with value: 0.9333333333333332.
[I 2023-12-19 20:55:57,615] Trial 14 finished with value: 0.7718750000000001 and parameters: {'learning_rate': 4.367323795983741e-05, 'batch_size': 128, 'embed_dim': 32, 'depth': 1}. Best is trial 0 with value: 0.9333333333333332.
[I 2023-12-19 20:57:45,550] Trial 15 finished with value: 0.95 and parameters: {'learning_rate': 0.0005321733297581075, 'batch_size': 16, 'embed_dim': 64, 'depth': 5}. Best is trial 15 with value: 0.95.
[I 2023-12-19 20:59:26,373] Trial 16 finished with value: 0.95 and parameters: {'learning_rate': 0.0007299591402600596, 'batch_size': 16, 'embed_dim': 64, 'depth': 5}. Best is trial 15 with value: 0.95.
[I 2023-12-19 21:01:04,820] Trial 17 finished with value: 0.375 and parameters: {'learning_rate': 0.07408766950364654, 'batch_size': 16, 'embed_dim': 64, 'depth': 5}. Best is trial 15 with value: 0.95.
[I 2023-12-19 21:02:43,214] Trial 18 finished with value: 0.4916666666666667 and parameters: {'learning_rate': 0.0035219542615325026, 'batch_size': 16, 'embed_dim': 64, 'depth': 5}. Best is trial 15 with value: 0.95.
[I 2023-12-19 21:04:21,030] Trial 19 finished with value: 0.8791666666666667 and parameters: {'learning_rate': 0.000712808544487908, 'batch_size': 16, 'embed_dim': 64, 'depth': 5}. Best is trial 15 with value: 0.95.
4: Train Metrics(loss=0.7354689240455627, accuracy=0.78125), Test Metrics(loss=0.5103977918624878, accuracy=0.875)
5: Train Metrics(loss=0.6357287168502808, accuracy=0.65625), Test Metrics(loss=0.6280301809310913, accuracy=0.71875)
6: Train Metrics(loss=0.387917697429657, accuracy=0.875), Test Metrics(loss=0.28932181000709534, accuracy=0.90625)
7: Train Metrics(loss=0.5297344923019409, accuracy=0.75), Test Metrics(loss=0.4837353229522705, accuracy=0.84375)
8: Train Metrics(loss=0.6282464861869812, accuracy=0.78125), Test Metrics(loss=0.3271769881248474, accuracy=0.90625)
9: Train Metrics(loss=0.43626701831817627, accuracy=0.84375), Test Metrics(loss=0.4363480806350708, accuracy=0.90625)
10: Train Metrics(loss=0.32497140765190125, accuracy=0.84375), Test Metrics(loss=0.4327879250049591, accuracy=0.8125)
1: Train Metrics(loss=1.6287493705749512, accuracy=0.4609375), Test Metrics(loss=1.706126093864441, accuracy=0.3828125)
2: Train Metrics(loss=1.1217925548553467, accuracy=0.625), Test Metrics(loss=1.227484941482544, accuracy=0.5859375)
3: Train Metrics(loss=1.0059541463851929, accuracy=0.6953125), Test Metrics(loss=1.1491012573242188, accuracy=0.625)
4: Train Metrics(loss=0.8058303594589233, accuracy=0.7421875), Test Metrics(loss=0.7739575505256653, accuracy=0.7578125)
5: Train Metrics(loss=0.784802258014679, accuracy=0.7421875), Test Metrics(loss=0.6830949783325195, accuracy=0.765625)
6: Train Metrics(loss=0.7158504128456116, accuracy=0.765625), Test Metrics(loss=0.7479400038719177, accuracy=0.7734375)
7: Train Metrics(loss=0.8686672449111938, accuracy=0.703125), Test Metrics(loss=0.8411815166473389, accuracy=0.7109375)
8: Train Metrics(loss=0.8297852277755737, accuracy=0.7109375), Test Metrics(loss=0.7859712243080139, accuracy=0.75)
9: Train Metrics(loss=0.6185485124588013, accuracy=0.8203125), Test Metrics(loss=0.7212441563606262, accuracy=0.7578125)
10: Train Metrics(loss=0.6105319261550903, accuracy=0.8046875), Test Metrics(loss=0.6915960311889648, accuracy=0.8203125)
1: Train Metrics(loss=0.48830464482307434, accuracy=0.875), Test Metrics(loss=0.4796755313873291, accuracy=0.8125)
2: Train Metrics(loss=0.3441930413246155, accuracy=0.875), Test Metrics(loss=0.07858139276504517, accuracy=1.0)
3: Train Metrics(loss=0.29400435090065, accuracy=0.9375), Test Metrics(loss=0.27772608399391174, accuracy=0.9375)
4: Train Metrics(loss=0.3176538050174713, accuracy=0.8125), Test Metrics(loss=0.4870893657207489, accuracy=0.8125)
5: Train Metrics(loss=0.3915101885795593, accuracy=0.875), Test Metrics(loss=0.4302036762237549, accuracy=0.75)
6: Train Metrics(loss=0.34829238057136536, accuracy=0.9375), Test Metrics(loss=0.14555247128009796, accuracy=0.9375)
7: Train Metrics(loss=0.2991412281990051, accuracy=0.875), Test Metrics(loss=0.135004922747612, accuracy=0.9375)
8: Train Metrics(loss=0.5567262768745422, accuracy=0.875), Test Metrics(loss=0.07979169487953186, accuracy=1.0)
9: Train Metrics(loss=0.14019323885440826, accuracy=1.0), Test Metrics(loss=0.15072490274906158, accuracy=0.9375)
10: Train Metrics(loss=0.25999337434768677, accuracy=0.875), Test Metrics(loss=0.24247397482395172, accuracy=0.9375)
1: Train Metrics(loss=0.42295408248901367, accuracy=0.875), Test Metrics(loss=0.9049525260925293, accuracy=0.75)
2: Train Metrics(loss=0.2430781126022339, accuracy=0.9375), Test Metrics(loss=0.15582554042339325, accuracy=0.9375)
3: Train Metrics(loss=0.42725223302841187, accuracy=0.875), Test Metrics(loss=0.33230724930763245, accuracy=0.875)
4: Train Metrics(loss=0.39330559968948364, accuracy=0.875), Test Metrics(loss=0.2357591986656189, accuracy=0.9375)
5: Train Metrics(loss=0.3668202757835388, accuracy=0.75), Test Metrics(loss=0.6213976144790649, accuracy=0.8125)
6: Train Metrics(loss=0.33997416496276855, accuracy=0.875), Test Metrics(loss=0.12869319319725037, accuracy=0.9375)
7: Train Metrics(loss=0.14650079607963562, accuracy=0.9375), Test Metrics(loss=0.3358434736728668, accuracy=0.875)
8: Train Metrics(loss=0.6325341463088989, accuracy=0.8125), Test Metrics(loss=0.2396722435951233, accuracy=0.9375)
9: Train Metrics(loss=0.2423935979604721, accuracy=0.9375), Test Metrics(loss=0.14476072788238525, accuracy=0.9375)
10: Train Metrics(loss=0.14714962244033813, accuracy=1.0), Test Metrics(loss=0.0640084445476532, accuracy=1.0)
