with classifier mlp
[I 2023-12-19 10:22:00,879] A new study created in memory with name: no-name-9ce8c69b-6805-4955-9485-46a0f5d21ce6
2023-12-19 10:22:05.153638: W external/xla/xla/service/gpu/nvptx_compiler.cc:698] The NVIDIA driver's CUDA version is 12.0 which is older than the ptxas CUDA version (12.3.103). Because the driver is older than the ptxas version, XLA is disabling parallel compilation, which may slow down compilation. You should update your NVIDIA driver or use the NVIDIA-provided CUDA forward compatibility packages.
[I 2023-12-19 10:24:30,364] Trial 0 finished with value: 0.875 and parameters: {'learning_rate': 0.00031489116479568613, 'batch_size': 16, 'embed_dim': 256, 'depth': 1, 'classifier_hiddens': 128}. Best is trial 0 with value: 0.875.
[I 2023-12-19 11:02:58,427] Trial 18 finished with value: 0.1875 and parameters: {'learning_rate': 0.09135508099706098, 'batch_size': 16, 'embed_dim': 32, 'depth': 5, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:03:53,454] Trial 19 finished with value: 0.9375 and parameters: {'learning_rate': 0.0003465743419765037, 'batch_size': 64, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:07:50,118] Trial 20 finished with value: 0.953125 and parameters: {'learning_rate': 2.7625607193936495e-05, 'batch_size': 64, 'embed_dim': 128, 'depth': 5, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:10:47,891] Trial 21 finished with value: 1.0 and parameters: {'learning_rate': 2.0770883613628826e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:12:07,479] Trial 22 finished with value: 1.0 and parameters: {'learning_rate': 0.00011295473333965886, 'batch_size': 32, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:15:04,418] Trial 23 finished with value: 1.0 and parameters: {'learning_rate': 2.4555464868792577e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:21:35,425] Trial 24 finished with value: 1.0 and parameters: {'learning_rate': 2.4075460904071327e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:23:07,446] Trial 25 finished with value: 1.0 and parameters: {'learning_rate': 8.699376981859622e-05, 'batch_size': 32, 'embed_dim': 32, 'depth': 2, 'classifier_hiddens': 32}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:23:42,102] Trial 26 finished with value: 0.890625 and parameters: {'learning_rate': 0.00026194682988052095, 'batch_size': 256, 'embed_dim': 256, 'depth': 1, 'classifier_hiddens': 128}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:24:30,633] Trial 27 finished with value: 0.9296875 and parameters: {'learning_rate': 2.9056345431472208e-05, 'batch_size': 128, 'embed_dim': 64, 'depth': 4, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:25:43,044] Trial 28 finished with value: 0.9319066405296326 and parameters: {'learning_rate': 0.0005978057353831108, 'batch_size': 1028, 'embed_dim': 128, 'depth': 5, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:29:59,636] Trial 29 finished with value: 0.9375 and parameters: {'learning_rate': 0.00018835206414421362, 'batch_size': 16, 'embed_dim': 256, 'depth': 3, 'classifier_hiddens': 128}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:30:19,289] Trial 30 finished with value: 0.880859375 and parameters: {'learning_rate': 5.6353507864287145e-05, 'batch_size': 512, 'embed_dim': 32, 'depth': 1, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:31:38,579] Trial 31 finished with value: 1.0 and parameters: {'learning_rate': 0.00010053928363167684, 'batch_size': 32, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:32:59,781] Trial 32 finished with value: 0.78125 and parameters: {'learning_rate': 0.0003748197271882666, 'batch_size': 32, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:34:17,517] Trial 33 finished with value: 0.96875 and parameters: {'learning_rate': 1.7367682093845288e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:37:14,999] Trial 34 finished with value: 0.875 and parameters: {'learning_rate': 0.0008816441091306039, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:39:10,365] Trial 35 finished with value: 1.0 and parameters: {'learning_rate': 3.65582785929444e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:42:16,331] Trial 36 finished with value: 0.84375 and parameters: {'learning_rate': 0.001838197343068554, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:48:53,719] Trial 37 finished with value: 1.0 and parameters: {'learning_rate': 8.685600788895935e-05, 'batch_size': 16, 'embed_dim': 256, 'depth': 5, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:51:20,500] Trial 38 finished with value: 0.9375 and parameters: {'learning_rate': 1.0044462600112975e-05, 'batch_size': 64, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:51:50,226] Trial 39 finished with value: 0.94921875 and parameters: {'learning_rate': 0.0005356915080283582, 'batch_size': 256, 'embed_dim': 64, 'depth': 2, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:52:54,336] Trial 40 finished with value: 1.0 and parameters: {'learning_rate': 0.0002064938662696426, 'batch_size': 32, 'embed_dim': 32, 'depth': 1, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:55:51,389] Trial 41 finished with value: 0.96875 and parameters: {'learning_rate': 1.963208856703695e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:58:49,092] Trial 42 finished with value: 1.0 and parameters: {'learning_rate': 1.6261778015725716e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:01:46,765] Trial 43 finished with value: 1.0 and parameters: {'learning_rate': 3.128540414090446e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:04:43,802] Trial 44 finished with value: 1.0 and parameters: {'learning_rate': 0.00011927290784132624, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:05:43,429] Trial 45 finished with value: 0.91015625 and parameters: {'learning_rate': 6.880594485773807e-05, 'batch_size': 512, 'embed_dim': 128, 'depth': 4, 'classifier_hiddens': 32}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:08:28,265] Trial 46 finished with value: 0.984375 and parameters: {'learning_rate': 4.3277515234467835e-05, 'batch_size': 64, 'embed_dim': 32, 'depth': 6, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:10:04,828] Trial 47 finished with value: 0.921875 and parameters: {'learning_rate': 1.4943865602827105e-05, 'batch_size': 128, 'embed_dim': 128, 'depth': 5, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:11:17,788] Trial 48 finished with value: 0.8988326787948608 and parameters: {'learning_rate': 7.012881527690735e-05, 'batch_size': 1028, 'embed_dim': 256, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:13:03,500] Trial 49 finished with value: 1.0 and parameters: {'learning_rate': 2.0649326185093508e-05, 'batch_size': 16, 'embed_dim': 64, 'depth': 1, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:16:04,405] Trial 50 finished with value: 1.0 and parameters: {'learning_rate': 4.0284009190252904e-05, 'batch_size': 32, 'embed_dim': 32, 'depth': 5, 'classifier_hiddens': 128}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:22:36,528] Trial 51 finished with value: 1.0 and parameters: {'learning_rate': 2.3899584685150084e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:29:07,540] Trial 52 finished with value: 1.0 and parameters: {'learning_rate': 1.2851478191440143e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:35:37,509] Trial 53 finished with value: 1.0 and parameters: {'learning_rate': 2.4292973386500286e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:39:28,101] Trial 54 finished with value: 0.953125 and parameters: {'learning_rate': 0.00013282611776718647, 'batch_size': 64, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:42:17,566] Trial 55 finished with value: 0.6875 and parameters: {'learning_rate': 0.0021677875113336686, 'batch_size': 16, 'embed_dim': 128, 'depth': 2, 'classifier_hiddens': 32}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:43:50,427] Trial 56 finished with value: 0.92578125 and parameters: {'learning_rate': 5.883026096308437e-05, 'batch_size': 256, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:45:45,519] Trial 57 finished with value: 0.953125 and parameters: {'learning_rate': 1.2375028243615938e-05, 'batch_size': 64, 'embed_dim': 32, 'depth': 4, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:47:50,190] Trial 58 finished with value: 1.0 and parameters: {'learning_rate': 3.4742431432505024e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:48:47,362] Trial 59 finished with value: 0.9453125 and parameters: {'learning_rate': 0.0001947557777008271, 'batch_size': 128, 'embed_dim': 64, 'depth': 5, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:49:33,982] Trial 60 finished with value: 0.19921875 and parameters: {'learning_rate': 0.030196269585235073, 'batch_size': 512, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:51:04,510] Trial 61 finished with value: 0.96875 and parameters: {'learning_rate': 7.262264390539216e-05, 'batch_size': 32, 'embed_dim': 32, 'depth': 2, 'classifier_hiddens': 32}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:52:37,110] Trial 62 finished with value: 0.96875 and parameters: {'learning_rate': 9.797382594457938e-05, 'batch_size': 32, 'embed_dim': 32, 'depth': 2, 'classifier_hiddens': 32}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:54:06,594] Trial 63 finished with value: 0.96875 and parameters: {'learning_rate': 4.966094318479477e-05, 'batch_size': 32, 'embed_dim': 32, 'depth': 2, 'classifier_hiddens': 32}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:55:35,962] Trial 64 finished with value: 1.0 and parameters: {'learning_rate': 0.0004440674648137349, 'batch_size': 32, 'embed_dim': 32, 'depth': 2, 'classifier_hiddens': 32}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:55:47,174] Trial 65 finished with value: 0.7723735570907593 and parameters: {'learning_rate': 2.804795364698861e-05, 'batch_size': 1028, 'embed_dim': 32, 'depth': 1, 'classifier_hiddens': 128}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:57:17,792] Trial 66 finished with value: 0.28125 and parameters: {'learning_rate': 0.009443057945373815, 'batch_size': 32, 'embed_dim': 256, 'depth': 1, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:01:58,162] Trial 67 finished with value: 1.0 and parameters: {'learning_rate': 0.0002767308442343343, 'batch_size': 32, 'embed_dim': 128, 'depth': 5, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:05:02,647] Trial 68 finished with value: 1.0 and parameters: {'learning_rate': 0.0009769035961825394, 'batch_size': 16, 'embed_dim': 32, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:05:45,111] Trial 69 finished with value: 0.92578125 and parameters: {'learning_rate': 0.00015891228647723347, 'batch_size': 256, 'embed_dim': 128, 'depth': 2, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:06:41,423] Trial 70 finished with value: 0.953125 and parameters: {'learning_rate': 2.0218218093576092e-05, 'batch_size': 64, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:07:59,942] Trial 71 finished with value: 0.96875 and parameters: {'learning_rate': 0.00010050550007215364, 'batch_size': 32, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:09:18,689] Trial 72 finished with value: 1.0 and parameters: {'learning_rate': 8.169151427910543e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:10:38,306] Trial 73 finished with value: 0.84375 and parameters: {'learning_rate': 0.0002519349523662046, 'batch_size': 32, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:11:56,256] Trial 74 finished with value: 0.96875 and parameters: {'learning_rate': 4.6497433930815026e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:14:54,018] Trial 75 finished with value: 1.0 and parameters: {'learning_rate': 0.00010429796112390752, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:19:25,236] Trial 76 finished with value: 1.0 and parameters: {'learning_rate': 1.6033878781984536e-05, 'batch_size': 32, 'embed_dim': 256, 'depth': 4, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:25:05,890] Trial 77 finished with value: 1.0 and parameters: {'learning_rate': 2.9730990400293178e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 5, 'classifier_hiddens': 32}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:25:52,857] Trial 78 finished with value: 0.865234375 and parameters: {'learning_rate': 1.0205150084371434e-05, 'batch_size': 512, 'embed_dim': 64, 'depth': 6, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:26:30,497] Trial 79 finished with value: 0.9453125 and parameters: {'learning_rate': 5.655910657509177e-05, 'batch_size': 128, 'embed_dim': 32, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:27:28,590] Trial 80 finished with value: 0.96875 and parameters: {'learning_rate': 0.0001403319503390633, 'batch_size': 64, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 128}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:29:20,913] Trial 81 finished with value: 1.0 and parameters: {'learning_rate': 3.5302590926374756e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:31:14,952] Trial 82 finished with value: 1.0 and parameters: {'learning_rate': 2.147169026052262e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:33:07,414] Trial 83 finished with value: 1.0 and parameters: {'learning_rate': 3.838207054150338e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:35:00,984] Trial 84 finished with value: 1.0 and parameters: {'learning_rate': 1.6616158697475122e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:35:47,397] Trial 85 finished with value: 0.8754863739013672 and parameters: {'learning_rate': 2.6180753227606565e-05, 'batch_size': 1028, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:41:18,486] Trial 86 finished with value: 0.96875 and parameters: {'learning_rate': 1.2474380236042725e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:43:04,543] Trial 87 finished with value: 1.0 and parameters: {'learning_rate': 5.432421195218653e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 1, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:47:49,781] Trial 88 finished with value: 1.0 and parameters: {'learning_rate': 7.873800365778723e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 5, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:49:20,687] Trial 89 finished with value: 0.953125 and parameters: {'learning_rate': 0.00016823621666328762, 'batch_size': 64, 'embed_dim': 128, 'depth': 2, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:49:51,661] Trial 90 finished with value: 0.921875 and parameters: {'learning_rate': 3.9586539496560154e-05, 'batch_size': 256, 'embed_dim': 64, 'depth': 3, 'classifier_hiddens': 32}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:56:22,659] Trial 91 finished with value: 1.0 and parameters: {'learning_rate': 0.00011394118984429014, 'batch_size': 16, 'embed_dim': 256, 'depth': 5, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:02:55,410] Trial 92 finished with value: 1.0 and parameters: {'learning_rate': 8.130636335165299e-05, 'batch_size': 16, 'embed_dim': 256, 'depth': 5, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:09:24,814] Trial 93 finished with value: 1.0 and parameters: {'learning_rate': 1.8696374509999325e-05, 'batch_size': 16, 'embed_dim': 256, 'depth': 5, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:15:56,067] Trial 94 finished with value: 1.0 and parameters: {'learning_rate': 9.303134749927999e-05, 'batch_size': 16, 'embed_dim': 256, 'depth': 5, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:20:25,022] Trial 95 finished with value: 1.0 and parameters: {'learning_rate': 3.157209189902512e-05, 'batch_size': 32, 'embed_dim': 256, 'depth': 4, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:25:29,744] Trial 96 finished with value: 1.0 and parameters: {'learning_rate': 6.546454470024251e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 6, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:26:51,424] Trial 97 finished with value: 1.0 and parameters: {'learning_rate': 0.0001258720306158635, 'batch_size': 32, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:28:01,933] Trial 98 finished with value: 0.86328125 and parameters: {'learning_rate': 1.3982599411303476e-05, 'batch_size': 512, 'embed_dim': 128, 'depth': 5, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:28:27,218] Trial 99 finished with value: 0.9453125 and parameters: {'learning_rate': 0.00021025163037626652, 'batch_size': 128, 'embed_dim': 32, 'depth': 2, 'classifier_hiddens': 32}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:31:23,759] Trial 100 finished with value: 0.96875 and parameters: {'learning_rate': 4.0963294484953445e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:32:25,432] Trial 101 finished with value: 0.96875 and parameters: {'learning_rate': 0.00021214629081942358, 'batch_size': 32, 'embed_dim': 32, 'depth': 1, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:33:28,715] Trial 102 finished with value: 0.96875 and parameters: {'learning_rate': 0.0004701447054048209, 'batch_size': 32, 'embed_dim': 32, 'depth': 1, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:34:32,270] Trial 103 finished with value: 0.96875 and parameters: {'learning_rate': 0.00034559635528658383, 'batch_size': 32, 'embed_dim': 32, 'depth': 1, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:35:34,393] Trial 104 finished with value: 0.9375 and parameters: {'learning_rate': 2.4046594503159317e-05, 'batch_size': 32, 'embed_dim': 32, 'depth': 1, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:36:17,033] Trial 105 finished with value: 0.9375 and parameters: {'learning_rate': 0.00015080538497904013, 'batch_size': 64, 'embed_dim': 32, 'depth': 1, 'classifier_hiddens': 128}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:42:54,712] Trial 106 finished with value: 1.0 and parameters: {'learning_rate': 4.764228830325277e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:43:21,934] Trial 107 finished with value: 0.13618676364421844 and parameters: {'learning_rate': 0.088755694348892, 'batch_size': 1028, 'embed_dim': 256, 'depth': 1, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:46:25,677] Trial 108 finished with value: 0.875 and parameters: {'learning_rate': 0.0007403777471072133, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:49:34,255] Trial 109 finished with value: 1.0 and parameters: {'learning_rate': 0.00029723399512722736, 'batch_size': 32, 'embed_dim': 32, 'depth': 5, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
