[I 2023-12-19 21:45:38,780] A new study created in memory with name: no-name-0658785a-41f3-4117-ab52-ce561d2ecf40
2023-12-19 21:45:45.675830: W external/xla/xla/service/gpu/nvptx_compiler.cc:698] The NVIDIA driver's CUDA version is 12.0 which is older than the ptxas CUDA version (12.3.103). Because the driver is older than the ptxas version, XLA is disabling parallel compilation, which may slow down compilation. You should update your NVIDIA driver or use the NVIDIA-provided CUDA forward compatibility packages.
[I 2023-12-19 21:46:59,675] Trial 0 finished with value: 0.9749999999999999 and parameters: {'learning_rate': 0.00031489116479568613, 'batch_size': 8, 'embed_dim': 32, 'depth': 1}. Best is trial 0 with value: 0.9749999999999999.
[I 2023-12-19 21:58:24,522] Trial 18 finished with value: 0.9395833333333333 and parameters: {'learning_rate': 0.000439741273498932, 'batch_size': 32, 'embed_dim': 32, 'depth': 3}. Best is trial 16 with value: 0.9833333333333334.
[I 2023-12-19 21:58:33,368] Trial 19 finished with value: 0.8859375 and parameters: {'learning_rate': 0.0020920870078401143, 'batch_size': 512, 'embed_dim': 32, 'depth': 1}. Best is trial 16 with value: 0.9833333333333334.
[I 2023-12-19 21:58:51,556] Trial 20 finished with value: 0.85625 and parameters: {'learning_rate': 0.00041272473843641363, 'batch_size': 64, 'embed_dim': 32, 'depth': 1}. Best is trial 16 with value: 0.9833333333333334.
[I 2023-12-19 21:59:35,079] Trial 21 finished with value: 0.925 and parameters: {'learning_rate': 0.00036650899604322894, 'batch_size': 32, 'embed_dim': 32, 'depth': 3}. Best is trial 16 with value: 0.9833333333333334.
[I 2023-12-19 22:00:18,257] Trial 22 finished with value: 0.875 and parameters: {'learning_rate': 5.6184829408684754e-05, 'batch_size': 32, 'embed_dim': 32, 'depth': 3}. Best is trial 16 with value: 0.9833333333333334.
[I 2023-12-19 22:00:34,759] Trial 23 finished with value: 0.8864583333333333 and parameters: {'learning_rate': 0.0007023348850688339, 'batch_size': 128, 'embed_dim': 32, 'depth': 3}. Best is trial 16 with value: 0.9833333333333334.
[I 2023-12-19 22:01:29,230] Trial 24 finished with value: 0.9125000000000001 and parameters: {'learning_rate': 0.00026682950889110303, 'batch_size': 32, 'embed_dim': 64, 'depth': 3}. Best is trial 16 with value: 0.9833333333333334.
[I 2023-12-19 22:03:11,110] Trial 25 finished with value: 0.8583333333333334 and parameters: {'learning_rate': 0.002779117928689567, 'batch_size': 8, 'embed_dim': 32, 'depth': 3}. Best is trial 16 with value: 0.9833333333333334.
[I 2023-12-19 22:04:09,108] Trial 26 finished with value: 0.8749999999999999 and parameters: {'learning_rate': 5.774184637694136e-05, 'batch_size': 8, 'embed_dim': 32, 'depth': 1}. Best is trial 16 with value: 0.9833333333333334.
[I 2023-12-19 22:04:53,059] Trial 27 finished with value: 0.9375 and parameters: {'learning_rate': 0.000913630245142981, 'batch_size': 32, 'embed_dim': 32, 'depth': 3}. Best is trial 16 with value: 0.9833333333333334.
[I 2023-12-19 22:05:53,368] Trial 28 finished with value: 0.95 and parameters: {'learning_rate': 0.0002354369835090579, 'batch_size': 8, 'embed_dim': 32, 'depth': 1}. Best is trial 16 with value: 0.9833333333333334.
[I 2023-12-19 22:06:07,205] Trial 29 finished with value: 0.7739583333333333 and parameters: {'learning_rate': 0.0001959304389921016, 'batch_size': 64, 'embed_dim': 8, 'depth': 1}. Best is trial 16 with value: 0.9833333333333334.
[I 2023-12-19 22:07:12,142] Trial 30 finished with value: 0.9416666666666667 and parameters: {'learning_rate': 9.337851295805114e-05, 'batch_size': 8, 'embed_dim': 64, 'depth': 1}. Best is trial 16 with value: 0.9833333333333334.
[I 2023-12-19 22:08:16,812] Trial 31 finished with value: 0.9416666666666667 and parameters: {'learning_rate': 9.097175427419803e-05, 'batch_size': 8, 'embed_dim': 64, 'depth': 1}. Best is trial 16 with value: 0.9833333333333334.
slurmstepd: error: *** STEP 64411.0 ON ip-26-0-144-205 CANCELLED AT 2023-12-19T22:08:39 ***
srun: Job step aborted: Waiting up to 32 seconds for job step to finish.
slurmstepd: error: *** JOB 64411 ON ip-26-0-144-205 CANCELLED AT 2023-12-19T22:08:39 ***
