without classifier mlp
[I 2023-12-19 10:22:35,012] A new study created in memory with name: no-name-0f124f3c-92fc-4e24-a8e4-9344773713ae
2023-12-19 10:22:39.355381: W external/xla/xla/service/gpu/nvptx_compiler.cc:698] The NVIDIA driver's CUDA version is 12.0 which is older than the ptxas CUDA version (12.3.103). Because the driver is older than the ptxas version, XLA is disabling parallel compilation, which may slow down compilation. You should update your NVIDIA driver or use the NVIDIA-provided CUDA forward compatibility packages.
[I 2023-12-19 10:25:03,443] Trial 0 finished with value: 0.875 and parameters: {'learning_rate': 0.00031489116479568613, 'batch_size': 16, 'embed_dim': 256, 'depth': 1}. Best is trial 0 with value: 0.875.
[I 2023-12-19 11:00:36,883] Trial 16 finished with value: 0.90625 and parameters: {'learning_rate': 1.2864916833847533e-05, 'batch_size': 64, 'embed_dim': 32, 'depth': 6}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:02:07,777] Trial 17 finished with value: 0.912109375 and parameters: {'learning_rate': 4.839668264505077e-05, 'batch_size': 512, 'embed_dim': 256, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:05:59,330] Trial 18 finished with value: 0.65625 and parameters: {'learning_rate': 0.008207774217212173, 'batch_size': 32, 'embed_dim': 64, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:10:20,583] Trial 19 finished with value: 0.5625 and parameters: {'learning_rate': 0.06616513904708171, 'batch_size': 16, 'embed_dim': 32, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:13:59,611] Trial 20 finished with value: 1.0 and parameters: {'learning_rate': 0.0005316197285025846, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:17:33,723] Trial 21 finished with value: 1.0 and parameters: {'learning_rate': 0.003662879951175412, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:21:08,499] Trial 22 finished with value: 0.8125 and parameters: {'learning_rate': 0.006588298327310754, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:24:43,862] Trial 23 finished with value: 1.0 and parameters: {'learning_rate': 0.0012442617655030726, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:28:17,272] Trial 24 finished with value: 0.5 and parameters: {'learning_rate': 0.02682570663218171, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:31:17,586] Trial 25 finished with value: 1.0 and parameters: {'learning_rate': 0.002770624506212254, 'batch_size': 16, 'embed_dim': 32, 'depth': 3}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:31:54,931] Trial 26 finished with value: 0.4296875 and parameters: {'learning_rate': 0.0005597335672043224, 'batch_size': 128, 'embed_dim': 256, 'depth': 1}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:35:50,650] Trial 27 finished with value: 0.65625 and parameters: {'learning_rate': 0.005983488880391507, 'batch_size': 64, 'embed_dim': 64, 'depth': 6}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:40:38,595] Trial 28 finished with value: 0.78125 and parameters: {'learning_rate': 0.0015661118963241946, 'batch_size': 32, 'embed_dim': 128, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:42:49,946] Trial 29 finished with value: 0.75 and parameters: {'learning_rate': 0.0002010863951459918, 'batch_size': 16, 'embed_dim': 256, 'depth': 1}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:43:16,856] Trial 30 finished with value: 0.927734375 and parameters: {'learning_rate': 0.00031996097943920166, 'batch_size': 512, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:46:52,515] Trial 31 finished with value: 1.0 and parameters: {'learning_rate': 1.2255002365350116e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:47:17,611] Trial 32 finished with value: 0.8346303701400757 and parameters: {'learning_rate': 2.4253475980660058e-05, 'batch_size': 1028, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:50:51,641] Trial 33 finished with value: 1.0 and parameters: {'learning_rate': 2.286868484711088e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:51:11,231] Trial 34 finished with value: 0.8706225752830505 and parameters: {'learning_rate': 6.0446592408588626e-05, 'batch_size': 1028, 'embed_dim': 32, 'depth': 3}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:55:52,869] Trial 35 finished with value: 1.0 and parameters: {'learning_rate': 0.0005570354757650226, 'batch_size': 16, 'embed_dim': 128, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:56:34,877] Trial 36 finished with value: 0.8984375 and parameters: {'learning_rate': 1.0854109507515453e-05, 'batch_size': 256, 'embed_dim': 64, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 11:57:00,848] Trial 37 finished with value: 0.90625 and parameters: {'learning_rate': 3.698676921441796e-05, 'batch_size': 128, 'embed_dim': 32, 'depth': 2}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:02:19,407] Trial 38 finished with value: 1.0 and parameters: {'learning_rate': 0.00013283394047078494, 'batch_size': 16, 'embed_dim': 256, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:05:13,883] Trial 39 finished with value: 1.0 and parameters: {'learning_rate': 1.916780830347336e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 3}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:05:44,949] Trial 40 finished with value: 0.905642032623291 and parameters: {'learning_rate': 8.136066959960167e-05, 'batch_size': 1028, 'embed_dim': 128, 'depth': 2}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:09:19,560] Trial 41 finished with value: 1.0 and parameters: {'learning_rate': 0.0008025356508332411, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:12:54,325] Trial 42 finished with value: 0.875 and parameters: {'learning_rate': 0.004949964943500609, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:16:29,707] Trial 43 finished with value: 0.625 and parameters: {'learning_rate': 0.03415769500964426, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:20:48,565] Trial 44 finished with value: 1.0 and parameters: {'learning_rate': 0.0022288671782647374, 'batch_size': 16, 'embed_dim': 32, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:22:39,625] Trial 45 finished with value: 0.671875 and parameters: {'learning_rate': 0.013665246189402448, 'batch_size': 64, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:23:13,999] Trial 46 finished with value: 0.92578125 and parameters: {'learning_rate': 0.0003427909046430962, 'batch_size': 512, 'embed_dim': 32, 'depth': 6}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:23:48,759] Trial 47 finished with value: 0.9453125 and parameters: {'learning_rate': 0.0008928021659319569, 'batch_size': 256, 'embed_dim': 64, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:25:23,308] Trial 48 finished with value: 1.0 and parameters: {'learning_rate': 0.004129211328172007, 'batch_size': 16, 'embed_dim': 32, 'depth': 1}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:30:07,399] Trial 49 finished with value: 0.59375 and parameters: {'learning_rate': 0.010756008065688365, 'batch_size': 32, 'embed_dim': 128, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:30:45,451] Trial 50 finished with value: 0.8984375 and parameters: {'learning_rate': 1.6261778015725716e-05, 'batch_size': 128, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:34:17,958] Trial 51 finished with value: 1.0 and parameters: {'learning_rate': 0.0035711625088381896, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:37:52,450] Trial 52 finished with value: 1.0 and parameters: {'learning_rate': 0.0018662211914232318, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:41:27,320] Trial 53 finished with value: 1.0 and parameters: {'learning_rate': 0.0025363694884523043, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:45:00,436] Trial 54 finished with value: 1.0 and parameters: {'learning_rate': 0.0014948072699190623, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:47:16,774] Trial 55 finished with value: 1.0 and parameters: {'learning_rate': 3.441819818259542e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 2}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:51:33,795] Trial 56 finished with value: 0.8125 and parameters: {'learning_rate': 0.007814546107035523, 'batch_size': 16, 'embed_dim': 32, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:59:10,953] Trial 57 finished with value: 0.5625 and parameters: {'learning_rate': 0.0029514767252187147, 'batch_size': 16, 'embed_dim': 256, 'depth': 6}. Best is trial 3 with value: 1.0.
[I 2023-12-19 12:59:35,716] Trial 58 finished with value: 0.84765625 and parameters: {'learning_rate': 0.023055987886308808, 'batch_size': 512, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:01:40,012] Trial 59 finished with value: 1.0 and parameters: {'learning_rate': 0.0002079118692088797, 'batch_size': 64, 'embed_dim': 64, 'depth': 3}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:04:08,095] Trial 60 finished with value: 1.0 and parameters: {'learning_rate': 0.001154244929589396, 'batch_size': 32, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:07:43,547] Trial 61 finished with value: 1.0 and parameters: {'learning_rate': 0.0012252044577986804, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:11:18,578] Trial 62 finished with value: 1.0 and parameters: {'learning_rate': 0.0006668408382709094, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:14:56,914] Trial 63 finished with value: 0.875 and parameters: {'learning_rate': 0.005886541475697426, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:16:33,545] Trial 64 finished with value: 1.0 and parameters: {'learning_rate': 0.00044753710109471, 'batch_size': 16, 'embed_dim': 32, 'depth': 1}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:17:02,797] Trial 65 finished with value: 0.95703125 and parameters: {'learning_rate': 0.004355344268048879, 'batch_size': 256, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:23:30,954] Trial 66 finished with value: 0.6875 and parameters: {'learning_rate': 0.0016611504130611386, 'batch_size': 16, 'embed_dim': 256, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:23:53,830] Trial 67 finished with value: 0.783073902130127 and parameters: {'learning_rate': 1.3942861187687815e-05, 'batch_size': 1028, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:28:28,458] Trial 68 finished with value: 0.75 and parameters: {'learning_rate': 0.009896522058469569, 'batch_size': 16, 'embed_dim': 128, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:29:05,837] Trial 69 finished with value: 0.96875 and parameters: {'learning_rate': 0.003172280789216184, 'batch_size': 128, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:34:02,142] Trial 70 finished with value: 1.0 and parameters: {'learning_rate': 0.00011571487225969409, 'batch_size': 16, 'embed_dim': 32, 'depth': 6}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:36:58,186] Trial 71 finished with value: 1.0 and parameters: {'learning_rate': 0.002062611858802126, 'batch_size': 16, 'embed_dim': 32, 'depth': 3}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:39:53,347] Trial 72 finished with value: 1.0 and parameters: {'learning_rate': 0.0009956507110011053, 'batch_size': 16, 'embed_dim': 32, 'depth': 3}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:42:46,333] Trial 73 finished with value: 1.0 and parameters: {'learning_rate': 0.0025463505939562242, 'batch_size': 16, 'embed_dim': 32, 'depth': 3}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:45:40,772] Trial 74 finished with value: 0.6875 and parameters: {'learning_rate': 0.0866438695660128, 'batch_size': 16, 'embed_dim': 32, 'depth': 3}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:48:08,306] Trial 75 finished with value: 1.0 and parameters: {'learning_rate': 1.0153891533642842e-05, 'batch_size': 16, 'embed_dim': 64, 'depth': 2}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:50:22,180] Trial 76 finished with value: 0.96875 and parameters: {'learning_rate': 0.005064464688872079, 'batch_size': 64, 'embed_dim': 32, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:54:01,846] Trial 77 finished with value: 1.0 and parameters: {'learning_rate': 0.001506365922180855, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:54:22,404] Trial 78 finished with value: 0.90234375 and parameters: {'learning_rate': 5.1331459604522796e-05, 'batch_size': 512, 'embed_dim': 32, 'depth': 3}. Best is trial 3 with value: 1.0.
[I 2023-12-19 13:59:44,630] Trial 79 finished with value: 0.5625 and parameters: {'learning_rate': 0.003656237114934046, 'batch_size': 16, 'embed_dim': 256, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:01:05,202] Trial 80 finished with value: 0.96875 and parameters: {'learning_rate': 2.5907652671796343e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 1}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:04:40,441] Trial 81 finished with value: 1.0 and parameters: {'learning_rate': 1.5042715861365146e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:08:17,366] Trial 82 finished with value: 1.0 and parameters: {'learning_rate': 1.7011873017776513e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:11:50,353] Trial 83 finished with value: 1.0 and parameters: {'learning_rate': 1.2703079769162174e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:12:19,276] Trial 84 finished with value: 0.88671875 and parameters: {'learning_rate': 3.139116637269593e-05, 'batch_size': 256, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:12:42,353] Trial 85 finished with value: 0.9377431869506836 and parameters: {'learning_rate': 0.002446359502913497, 'batch_size': 1028, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:16:58,094] Trial 86 finished with value: 1.0 and parameters: {'learning_rate': 1.890646418563949e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:20:31,485] Trial 87 finished with value: 0.8125 and parameters: {'learning_rate': 0.007494290507563104, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:21:08,614] Trial 88 finished with value: 0.953125 and parameters: {'learning_rate': 0.0007928873032278223, 'batch_size': 128, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:23:30,217] Trial 89 finished with value: 1.0 and parameters: {'learning_rate': 0.0012641979964168328, 'batch_size': 16, 'embed_dim': 64, 'depth': 2}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:27:03,083] Trial 90 finished with value: 1.0 and parameters: {'learning_rate': 2.3082646482798155e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:30:38,430] Trial 91 finished with value: 1.0 and parameters: {'learning_rate': 4.101307037924985e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:34:14,869] Trial 92 finished with value: 1.0 and parameters: {'learning_rate': 2.123439500398487e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:37:47,477] Trial 93 finished with value: 1.0 and parameters: {'learning_rate': 1.1978651405538666e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:41:23,228] Trial 94 finished with value: 1.0 and parameters: {'learning_rate': 0.001908612184232816, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:46:23,423] Trial 95 finished with value: 1.0 and parameters: {'learning_rate': 1.0194401273845553e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 6}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:50:40,335] Trial 96 finished with value: 1.0 and parameters: {'learning_rate': 0.0029127471541650746, 'batch_size': 16, 'embed_dim': 32, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:54:15,441] Trial 97 finished with value: 1.0 and parameters: {'learning_rate': 6.148076738292783e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:56:23,862] Trial 98 finished with value: 0.96875 and parameters: {'learning_rate': 2.8772602552857343e-05, 'batch_size': 64, 'embed_dim': 128, 'depth': 3}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:57:49,649] Trial 99 finished with value: 0.51171875 and parameters: {'learning_rate': 0.004886904441647187, 'batch_size': 512, 'embed_dim': 256, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:59:26,892] Trial 100 finished with value: 1.0 and parameters: {'learning_rate': 0.00021381676748918362, 'batch_size': 16, 'embed_dim': 32, 'depth': 1}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:04:01,560] Trial 101 finished with value: 0.9375 and parameters: {'learning_rate': 0.0005762054854280534, 'batch_size': 16, 'embed_dim': 128, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:08:41,688] Trial 102 finished with value: 0.5625 and parameters: {'learning_rate': 0.004038228099077124, 'batch_size': 16, 'embed_dim': 128, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:13:17,413] Trial 103 finished with value: 0.875 and parameters: {'learning_rate': 0.0007317910781470547, 'batch_size': 16, 'embed_dim': 128, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:17:12,947] Trial 104 finished with value: 0.96875 and parameters: {'learning_rate': 0.0004262361768177225, 'batch_size': 32, 'embed_dim': 128, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:20:45,294] Trial 105 finished with value: 1.0 and parameters: {'learning_rate': 0.001067487544961484, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:21:13,585] Trial 106 finished with value: 0.9212062358856201 and parameters: {'learning_rate': 0.00029883700473036826, 'batch_size': 1028, 'embed_dim': 32, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:21:42,175] Trial 107 finished with value: 0.8515625 and parameters: {'learning_rate': 1.3796972059606346e-05, 'batch_size': 256, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:24:48,217] Trial 108 finished with value: 0.75 and parameters: {'learning_rate': 0.0062687111335354715, 'batch_size': 16, 'embed_dim': 64, 'depth': 3}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:28:22,111] Trial 109 finished with value: 1.0 and parameters: {'learning_rate': 0.002831673623878948, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:29:42,727] Trial 110 finished with value: 0.828125 and parameters: {'learning_rate': 0.001684855784690615, 'batch_size': 128, 'embed_dim': 128, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:35:00,242] Trial 111 finished with value: 1.0 and parameters: {'learning_rate': 0.00010904520312427303, 'batch_size': 16, 'embed_dim': 256, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:40:20,774] Trial 112 finished with value: 1.0 and parameters: {'learning_rate': 0.0001662626274406977, 'batch_size': 16, 'embed_dim': 256, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:45:38,709] Trial 113 finished with value: 0.875 and parameters: {'learning_rate': 0.00045802368021447996, 'batch_size': 16, 'embed_dim': 256, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:51:00,990] Trial 114 finished with value: 0.75 and parameters: {'learning_rate': 0.0009195166360844729, 'batch_size': 16, 'embed_dim': 256, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:55:58,727] Trial 115 finished with value: 1.0 and parameters: {'learning_rate': 1.778525976486917e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 6}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:59:08,161] Trial 116 finished with value: 0.9375 and parameters: {'learning_rate': 0.00025507757370807365, 'batch_size': 16, 'embed_dim': 256, 'depth': 2}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:02:43,341] Trial 117 finished with value: 1.0 and parameters: {'learning_rate': 0.002196098450245263, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:07:00,505] Trial 118 finished with value: 1.0 and parameters: {'learning_rate': 8.721906147154074e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:10:34,918] Trial 119 finished with value: 1.0 and parameters: {'learning_rate': 0.001445613133652521, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:12:03,479] Trial 120 finished with value: 1.0 and parameters: {'learning_rate': 0.00346064452845584, 'batch_size': 64, 'embed_dim': 32, 'depth': 3}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:14:58,103] Trial 121 finished with value: 1.0 and parameters: {'learning_rate': 2.779701574688965e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 3}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:18:36,263] Trial 122 finished with value: 1.0 and parameters: {'learning_rate': 1.8760401406680335e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:21:30,187] Trial 123 finished with value: 1.0 and parameters: {'learning_rate': 3.856747748436377e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 3}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:24:26,753] Trial 124 finished with value: 1.0 and parameters: {'learning_rate': 1.4847386768869614e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 3}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:24:46,676] Trial 125 finished with value: 0.865234375 and parameters: {'learning_rate': 2.088661121570151e-05, 'batch_size': 512, 'embed_dim': 32, 'depth': 3}. Best is trial 3 with value: 1.0.
